yas,gelir,borc,kredi_gecmisi,etiket
7,99225,9515,1,0
50,36206,48967,0,0
34,147814,3039,0,1
26,143052,26733,0,1
65,101209,15851,1,1
16,22419,33511,1,0
46,6214,39157,1,0
16,91338,45043,1,0
0,86194,41368,0,0
64,59701,18928,1,1
57,40411,19471,1,0
73,80901,3876,1,1
70,130178,28278,0,1
7,30439,2819,0,0
37,60238,5227,0,1
76,95365,37447,0,0
24,86574,43981,1,0
28,42469,31090,1,0
46,41828,30752,1,0
32,57059,48103,1,0
37,23311,40980,0,0
47,41934,31668,1,0
47,135203,25420,1,1
8,76971,20818,0,0
10,76826,44649,1,0
8,141710,14500,1,0
61,115798,16567,1,1
37,65732,7938,0,1
80,4227,22657,0,0
47,94452,4846,0,1
84,78977,42922,1,0
100,100244,28498,1,0
2,142451,23489,0,0
36,9219,10253,1,0
31,121505,43273,0,0
70,68897,5730,0,1
2,74579,13222,0,0
43,142314,690,0,1
66,43661,11708,1,1
100,122118,48767,0,0
69,83408,37820,0,0
47,102952,4931,0,1
69,48710,44896,1,0
57,135214,48857,0,0
16,148506,23916,1,0
36,34957,33255,0,0
76,125266,42446,1,1
11,92746,18973,0,0
32,131195,18899,1,1
47,130068,8008,0,1
5,66781,35703,1,0
18,79142,33649,0,0
53,11727,8969,1,0
55,25040,11155,0,0
13,1755,35537,0,0
62,12021,6529,0,0
10,97450,14745,1,0
58,104660,19503,0,1
45,139061,14180,1,1
34,61853,313,1,1
13,49602,34803,1,0
12,29416,48796,0,0
65,55352,24882,1,1
51,46775,40270,1,0
64,69710,6515,0,1
19,42081,47137,1,0
81,63729,2166,0,1
99,25952,43971,0,0
67,22058,29200,1,0
87,81728,36432,1,1
95,4257,25865,1,0
1,52938,34631,1,0
59,50647,39477,0,0
47,67524,33107,0,0
54,133985,9533,0,1
26,67998,12485,0,1
74,85712,47713,0,0
73,81265,42040,0,0
91,77321,28234,1,0
55,97261,14137,0,1
77,113117,31961,0,0
13,119966,20516,0,0
26,64398,48734,0,0
78,92758,10247,0,1
83,32024,39757,1,0
81,92009,45200,0,0
69,21327,28394,0,0
14,61267,18730,0,0
25,92387,35863,1,1
28,14097,9347,1,0
84,75335,1573,0,1
98,102150,24072,0,0
57,117552,11794,0,1
7,135800,9666,1,0
52,90280,37399,1,1
93,5655,9509,1,0
65,136186,28690,1,1
13,86317,5654,1,0
6,93069,9948,1,0
32,91253,41822,0,0
61,62867,25607,1,1
71,117065,12704,0,1
81,45423,44306,1,0
63,24334,24091,1,0
28,36169,38221,1,0
61,22885,6968,1,1
32,58739,21883,1,1
17,65105,20962,0,0
24,32097,6834,0,1
24,27488,32114,0,0
9,122570,11342,0,0
84,13797,48577,0,0
20,97876,14326,0,1
82,106341,15312,1,1
25,53159,43361,0,0
52,58824,23253,0,0
100,72225,17633,1,0
82,43300,6782,0,1
11,87503,8711,1,0
70,126575,36355,0,0
59,42022,40638,0,0
43,86799,27369,1,1
96,18944,39123,0,0
98,2146,18958,0,0
45,147860,13711,1,1
54,77369,33270,1,1
17,134808,44105,1,0
26,88073,15524,0,1
65,9778,26223,1,0
47,136612,30072,1,1
87,23534,46966,0,0
42,86088,24369,0,0
77,63468,31496,1,0
22,35091,49514,1,0
87,51253,32770,1,0
54,121632,15641,1,1
12,55389,44772,0,0
11,33789,382,0,0
99,74478,4655,1,0
86,78039,29978,0,0
76,24475,18410,1,0
29,4316,41194,1,0
38,17052,45963,0,0
39,91161,32695,1,1
17,17654,32884,0,0
4,62818,25691,0,0
98,55270,39317,0,0
12,72818,12605,1,0
38,68030,33266,0,0
95,91450,49583,1,0
47,58266,6633,1,1
19,120582,6680,1,1
86,99379,8296,1,1
75,53128,16368,0,0
50,83684,9479,0,1
53,102611,21478,0,1
40,19055,13585,0,0
0,33378,19293,1,0
68,114390,24381,1,1
53,116719,17993,1,1
40,2559,36364,1,0
92,130952,39178,0,0
13,89515,6121,0,0
72,36475,46342,1,0
49,92218,33239,1,1
52,16790,16322,0,0
28,118976,14012,1,1
11,39532,47229,0,0
51,132873,11332,0,1
17,94777,45451,1,0
4,81524,6385,0,0
78,48468,1165,0,1
94,127011,6162,1,0
42,47813,14239,1,1
91,97678,47668,1,0
93,5088,12396,1,0
94,5476,12802,0,0
32,86607,27509,1,1
93,141275,19823,0,0
10,114553,35642,1,0
66,10754,33640,0,0
4,111709,110,1,0
35,7062,151,1,1
72,94584,26162,0,0
48,16755,5690,0,0
48,145003,7481,1,1
22,62683,32465,1,0
41,93186,30442,0,0
54,61627,41215,1,0
7,49633,27291,1,0
46,116621,44939,0,0
13,72165,32982,0,0
99,73918,35967,1,0
44,140980,8393,1,1
25,11202,5674,0,0
46,75192,586,1,1
33,118168,48248,1,1
33,42761,13347,1,1
4,74894,30401,0,0
52,130611,5249,1,1
74,59835,40051,0,0
10,116277,26040,1,0
30,119818,38949,1,1
36,63630,40203,0,0
91,123469,1064,1,0
21,45167,37888,1,0
81,130270,49344,0,0
96,9608,6112,1,0
25,14351,3112,1,1
47,105134,48757,1,0
45,103065,9912,1,1
6,47155,48408,1,0
36,94461,15191,0,1
4,81876,36177,1,0
13,97138,21063,0,0
61,64922,4077,1,1
33,141587,47265,1,1
61,20863,33207,1,0
20,9806,43034,0,0
69,17837,20633,0,0
35,38222,40535,1,0
50,8740,41383,0,0
44,56405,8687,1,1
28,28380,45311,0,0
5,129751,42557,1,0
72,66304,11218,0,1
18,119939,2555,0,1
61,137561,34965,1,1
52,51148,14464,0,0
17,104451,43701,1,0
71,34959,31282,1,0
24,116380,21497,0,1
53,76879,29991,0,0
8,35457,4467,1,0
64,74298,198,1,1
61,11702,44971,1,0
26,3276,47936,0,0
87,17609,1065,0,1
85,10914,32218,1,0
64,75683,74,0,1
19,99474,35700,0,0
94,130972,2299,1,0
18,88951,38514,1,1
40,56662,8588,0,1
24,143362,17855,1,1
59,73541,34554,1,0
84,2469,33719,1,0
49,30075,44999,1,0
83,20917,28141,1,0
62,47985,12100,0,0
34,129529,26702,0,1
78,26260,30142,1,0
78,74145,24791,1,1
42,95705,8466,1,1
59,73966,36373,1,0
80,23541,10038,1,1
51,27736,40549,0,0
56,143403,41816,0,0
73,39003,47540,0,0
81,96181,17024,0,1
24,139914,13766,0,1
92,30292,45629,1,0
15,72468,8196,1,0
85,142465,36490,1,1
28,95261,49377,0,0
77,30263,2764,0,1
18,136394,45779,1,1
40,122684,29790,1,1
2,30418,20144,1,0
50,57066,5325,1,1
46,126319,24931,1,1
64,23104,10742,0,0
49,79248,15913,1,1
49,118831,47141,0,0
5,28705,10421,0,0
33,126854,11920,0,1
40,77705,11380,1,1
23,82311,39739,0,0
73,105744,16304,1,1
37,23496,1641,1,1
47,81855,45136,0,0
11,78568,13187,0,0
55,74994,36739,0,0
59,48677,208,0,1
67,139074,24593,0,1
71,3503,44364,0,0
3,53116,17072,0,0
45,51764,37026,0,0
70,17657,4898,0,0
75,12888,34983,0,0
81,79826,23218,1,1
65,115783,36578,1,1
44,23813,12331,0,0
54,143768,7773,1,1
75,112473,10231,0,1
87,34908,12035,1,1
98,136066,34868,0,0
61,101371,24507,1,1
26,118656,3676,0,1
35,46859,25064,0,0
60,25687,10614,1,1
60,38180,32783,0,0
42,54853,16082,1,1
45,3488,7893,1,0
43,16288,41882,1,0
2,99697,36432,0,0
93,7176,30451,0,0
41,78865,45734,1,0
66,118359,35425,1,1
87,127735,37640,1,1
46,22479,31329,0,0
15,109761,27480,1,0
63,22956,36713,0,0
8,112427,6569,1,0
54,125743,38081,1,1
62,51546,45301,0,0
75,79777,33646,1,1
30,43861,47553,0,0
27,99305,39521,1,1
20,62104,6638,0,1
76,144595,2832,0,1
91,51986,41270,1,0
28,84964,48232,0,0
10,126942,34447,0,0
64,13540,29439,0,0
45,38039,49920,0,0
33,24045,11345,1,0
12,59648,19390,1,0
47,85042,31561,0,0
43,146219,46284,0,0
18,49104,32839,1,0
0,114587,14396,1,0
73,60615,16686,0,0
98,134923,9079,1,0
26,145095,24990,0,1
63,119173,9485,0,1
27,95254,21861,0,1
23,2016,1382,0,0
33,56369,47945,0,0
84,127784,47721,0,0
58,108850,26492,0,1
71,126125,36326,0,0
37,50672,31728,1,0
87,88795,34333,1,1
67,42118,38420,1,0
42,15919,36747,1,0
85,121595,43131,1,1
62,144324,24026,0,1
61,126604,18157,0,1
38,149280,11688,0,1
90,88527,17927,1,1
37,88040,38496,0,0
13,77047,45330,1,0
67,114966,26871,0,1
43,83270,5468,0,1
58,42502,25582,0,0
6,91895,8629,0,0
10,76233,35403,1,0
81,14010,7011,1,0
39,66683,34478,0,0
89,79617,12206,0,1
46,68267,14259,0,1
29,119901,14390,0,1
11,129399,1164,0,0
85,30129,44075,0,0
58,21009,4922,0,1
63,122424,35978,1,1
14,37869,5201,0,0
10,74321,34916,0,0
24,10854,14388,0,0
88,143496,43986,0,0
72,13179,23560,0,0
95,147555,20861,0,0
50,21841,46573,1,0
84,8605,41227,1,0
73,139037,15625,0,1
48,70206,14761,0,1
10,130794,6597,0,0
32,20789,9138,0,0
16,29460,48897,0,0
39,34010,14148,1,1
95,109708,15880,1,0
74,22299,42877,0,0
58,40524,38047,0,0
21,140422,18510,0,1
25,43175,19849,0,0
12,105411,17079,0,0
23,138180,42620,1,1
76,24319,24491,1,0
94,9422,31634,0,0
4,148970,47203,1,0
94,41796,21290,0,0
13,22556,45396,1,0
42,44477,22287,1,0
17,144033,32660,1,0
41,64110,3053,1,1
45,71227,19885,0,0
92,102934,47531,0,0
94,88152,20792,1,0
16,58591,6045,0,0
32,146674,36319,0,1
81,122069,4013,0,1
23,91171,25655,0,0
24,139910,42962,1,1
22,135039,5034,0,1
27,8189,43879,1,0
100,24660,1320,0,0
71,124591,45942,0,0
27,147017,30777,1,1
70,5254,11021,0,0
24,122339,47683,1,1
98,91502,8515,1,0
53,75891,20231,0,0
89,60590,26803,0,0
69,71898,375,0,1
27,85652,11325,0,1
95,131310,205,0,0
76,63438,20053,1,1
35,39777,5117,1,1
77,137342,22241,1,1
48,126362,40343,1,1
73,144531,8391,0,1
88,6522,2779,1,1
48,64791,42176,1,0
7,33434,27966,0,0
68,112273,11328,1,1
22,74997,8580,1,1
53,70825,39826,1,0
40,25339,7093,1,1
31,141930,21217,0,1
100,83243,14407,0,0
7,114411,24513,1,0
25,139235,4470,0,1
77,34594,9346,1,1
50,19101,38615,0,0
74,15576,45804,0,0
43,7457,46066,0,0
49,17712,27335,0,0
63,54927,31076,0,0
43,140538,35995,1,1
24,23518,30084,1,0
19,99946,27669,0,0
23,141503,15861,1,1
8,103414,21116,0,0
14,138572,7415,0,0
89,17188,46969,1,0
69,147287,36599,1,1
4,32745,18465,0,0
2,141053,6136,1,0
100,24514,10552,0,0
4,135173,9165,1,0
68,5397,33705,0,0
55,92094,8611,0,1
12,75620,7932,0,0
1,4079,38109,0,0
26,60115,21282,1,1
74,4515,28436,0,0
42,111931,21917,0,1
43,72694,7629,1,1
57,32740,8261,1,1
90,113726,38090,1,1
51,75395,48365,0,0
66,51351,9781,0,1
3,76088,30123,0,0
83,111942,34780,0,0
10,139905,20672,0,0
17,3546,35937,1,0
26,3100,19683,1,0
76,32498,14648,0,0
87,22323,41776,0,0
43,92031,41133,0,0
71,106837,43864,0,0
25,145420,40197,1,1
78,94328,22651,0,1
25,97060,36127,1,1
21,60157,7456,1,1
65,86682,11165,0,1
15,149444,16366,1,0
14,38694,45015,0,0
51,62025,13801,1,1
80,71019,24323,1,1
41,57416,24895,1,1
9,63874,49090,0,0
80,127468,44441,0,0
34,8843,35417,0,0
94,49445,30333,0,0
83,136875,10635,0,1
65,22256,3657,1,1
29,46931,45439,1,0
55,13421,3857,1,1
50,56814,49651,1,0
86,98287,36240,0,0
20,5046,45752,1,0
25,26534,32326,0,0
96,64749,2488,1,0
89,20775,13883,1,0
65,126734,48137,1,1
92,123444,1381,1,0
53,17987,17914,0,0
28,67041,43665,1,0
62,121368,18719,1,1
91,103953,10942,0,0
45,130937,7506,1,1
66,137748,16185,1,1
33,64550,21774,0,0
29,30128,34684,0,0
3,145907,25228,1,0
39,97775,49526,0,0
18,99288,22045,1,1
2,25166,3902,1,0
44,112675,28900,0,0
49,123975,102,1,1
84,106481,11233,1,1
2,133858,21649,0,0
38,120230,19058,1,1
16,81608,7766,1,0
14,97157,18115,1,0
47,15472,4523,1,1
48,20415,46454,0,0
16,125710,6894,0,0
23,86161,44712,1,0
3,100617,49249,0,0
87,88718,47181,0,0
29,123019,5434,0,1
52,100965,43266,1,1
14,83414,35996,1,0
11,50846,29640,1,0
70,109533,10933,0,1
54,78220,15132,1,1
80,114301,33410,0,0
7,121491,32672,1,0
100,63696,46603,1,0
97,130606,35408,0,0
32,112665,30866,0,0
49,88195,2338,1,1
60,49668,48583,1,0
19,88265,27148,1,1
78,61038,23849,0,0
59,134442,49457,0,0
23,44150,26567,1,0
95,116454,3148,1,0
100,89637,9618,1,0
0,129871,37160,0,0
93,58943,20387,0,0
5,22086,15570,1,0
89,99525,30989,1,1
30,116935,47614,1,1
5,109135,46097,1,0
29,110313,49971,0,0
77,48232,26816,0,0
64,38510,31481,1,0
67,76674,13283,0,1
58,139258,922,0,1
56,89994,40133,0,0
27,120239,13084,0,1
64,41361,48691,0,0
84,44889,1427,0,1
88,95198,37349,1,1
33,140582,43988,0,0
84,18418,29865,1,0
1,94479,8381,1,0
66,134137,1454,0,1
42,48264,17060,1,1
68,79898,7281,1,1
32,81690,30957,1,1
67,130509,21147,1,1
33,107443,9404,1,1
91,91194,32660,0,0
36,46912,2719,1,1
73,3657,25546,0,0
3,103748,28962,1,0
88,117495,10609,1,1
13,60756,21258,0,0
51,14385,26231,1,0
0,94205,13770,0,0
50,38625,12739,0,0
74,148103,48961,1,1
4,32478,38512,0,0
62,134669,25937,0,1
68,62747,9984,1,1
55,34655,15,1,1
45,85097,2426,1,1
91,79651,28887,1,0
1,44900,22263,1,0
12,24895,48864,1,0
92,23614,7199,0,0
73,122242,19593,0,1
50,2496,41938,0,0
69,113511,34238,0,0
55,113061,16088,0,1
38,116348,49929,0,0
29,123586,18939,0,1
26,42256,21585,1,0
1,6521,18782,0,0
93,66956,32967,1,0
9,142466,40941,0,0
51,60466,26334,0,0
18,104757,40409,0,0
99,120122,11003,0,0
21,9300,7165,1,0
19,149249,4751,0,1
14,149901,48007,1,0
21,110787,1805,1,1
2,3940,11602,1,0
35,124748,34864,0,0
22,108989,9261,1,1
38,100615,24832,0,1
78,5914,39764,0,0
52,5443,43931,0,0
44,14660,37109,0,0
30,30174,34812,1,0
49,149031,20701,0,1
70,121872,2194,1,1
69,49112,40477,0,0
8,68239,37254,1,0
23,130539,49181,0,0
21,80118,29757,0,0
1,113818,35838,0,0
77,136719,738,0,1
15,16581,38222,1,0
81,7745,20692,1,0
75,64721,8103,0,1
26,90108,32583,1,1
82,43660,23340,1,0
30,132635,6550,0,1
68,26738,35373,0,0
41,123806,35075,1,1
14,10387,19252,1,0
34,87313,24768,0,0
81,86176,2135,0,1
98,105698,30849,0,0
1,7619,2037,0,0
61,88442,2284,0,1
70,87267,12367,0,1
59,108098,40563,0,0
33,90419,40223,1,1
73,146932,49511,1,1
85,73635,14479,0,1
10,50411,6120,0,0
75,133467,38715,1,1
23,46237,20679,1,1
70,31258,37088,1,0
52,78328,9365,1,1
96,20434,29249,0,0
56,110129,13377,1,1
97,93929,37244,0,0
20,89639,1752,1,1
10,148829,11858,1,0
6,95526,30384,1,0
65,99778,49289,1,0
89,108729,23586,1,1
45,50500,15213,1,1
44,129534,37894,1,1
4,120286,21277,1,0
55,141791,10023,1,1
21,54971,5093,1,1
1,36149,18662,1,0
63,33761,48959,0,0
92,115928,9385,0,0
76,132678,22843,1,1
24,56686,28441,1,0
8,99568,44582,1,0
59,78149,26018,0,0
5,16038,16699,0,0
54,131717,46309,0,0
53,126843,9623,0,1
61,5068,47821,0,0
5,31920,24350,0,0
28,65946,113,0,1
32,121303,31966,0,0
13,49876,22103,0,0
9,80150,12658,0,0
37,41273,13783,0,0
28,51184,45073,0,0
76,66255,46459,0,0
68,62683,40664,0,0
92,136361,44162,1,0
63,87941,47509,0,0
15,134391,44223,0,0
47,51976,27836,1,0
43,140708,34006,1,1
6,5107,31712,1,0
37,144584,28447,0,1
46,15712,30366,1,0
44,139342,38285,0,0
58,21301,44436,1,0
12,92491,14406,1,0
18,48841,39941,1,0
66,28198,30856,1,0
66,128843,1992,0,1
97,8745,5673,1,0
2,148156,17968,0,0
22,141488,29158,0,1
86,114926,24117,0,1
99,81948,6055,0,0
88,77802,25100,0,0
64,86148,5739,1,1
94,143528,14221,0,0
29,20513,2000,1,1
5,81411,39322,1,0
59,56398,22035,1,1
89,139402,12522,1,1
86,60847,29181,1,0
48,47042,4931,1,1
23,17890,16206,0,0
37,29653,42701,1,0
34,77171,22095,1,1
4,119770,13089,0,0
42,117289,16170,0,1
44,21477,42862,0,0
32,102179,7010,0,1
42,45562,19424,0,0
93,71505,24606,1,0
43,20946,30214,1,0
16,120439,6485,0,0
4,109604,3503,1,0
81,58863,35867,0,0
0,126991,413,1,0
13,47567,38610,0,0
18,5567,1422,0,0
44,8610,17696,0,0
33,27939,44164,1,0
73,121043,9616,1,1
31,93118,657,1,1
81,55383,29318,1,0
86,110495,38139,0,0
42,71960,45117,1,0
18,41751,16506,0,0
14,18862,4353,0,0
13,51668,18402,0,0
5,15053,9624,1,0
3,89018,38580,1,0
80,36817,23906,1,0
92,68856,18477,1,0
14,137734,31410,1,0
82,37189,14787,1,1
95,121218,34154,0,0
99,118139,34749,0,0
63,39151,19845,0,0
73,130140,3948,1,1
68,144360,1641,0,1
1,92808,33658,1,0
17,120935,27927,0,0
13,89616,44057,0,0
3,12175,33753,1,0
40,139791,31907,1,1
80,45587,5244,0,1
61,55881,1501,0,1
70,55164,29999,0,0
39,107190,34973,1,1
84,62187,25064,0,0
0,65302,42514,1,0
16,33090,31331,1,0
28,33222,29535,1,0
38,5007,44001,0,0
26,44201,33487,0,0
10,117913,34826,1,0
21,126402,27876,1,1
80,107038,20775,1,1
64,13927,15220,0,0
64,28475,13465,1,0
60,78847,6474,0,1
42,139714,964,1,1
80,99467,36893,1,1
11,121098,28252,0,0
87,115825,19995,1,1
24,110603,40551,1,1
45,138403,15438,0,1
55,112283,44631,1,1
16,49734,9877,0,0
83,89805,11430,0,1
40,89254,48676,0,0
61,77733,11434,0,1
64,34702,47472,1,0
11,31693,3353,0,0
7,13788,28376,1,0
95,84275,20274,0,0
76,113423,1461,0,1
82,59323,46111,0,0
18,87130,20247,0,1
39,101240,36002,0,0
26,127519,8544,1,1
40,53726,28773,1,0
25,77878,20971,1,1
82,79664,39964,1,0
63,62835,19657,0,0
63,98019,36612,0,0
2,30974,31974,1,0
23,42838,14907,1,1
85,32261,8599,1,1
5,72209,39225,0,0
28,129238,28444,1,1
18,78855,40076,0,0
82,37344,4218,1,1
68,89165,10528,1,1
40,58157,10012,0,1
51,87218,11443,1,1
36,88932,3237,1,1
92,58311,1289,1,0
86,16621,5624,0,0
85,18078,12264,0,0
36,111170,4401,0,1
48,45304,46087,1,0
69,8841,39372,0,0
20,108925,41236,1,1
14,95096,49240,1,0
58,49095,47403,1,0
17,138359,17771,0,0
99,44552,45334,0,0
31,38207,39215,0,0
10,63780,12830,0,0
2,63793,5206,0,0
52,65612,34602,1,0
6,76334,24054,1,0
77,58992,22650,0,0
14,148672,15841,0,0
55,44733,28216,0,0
4,12489,32096,1,0
3,62789,20603,1,0
18,79217,21015,1,1
44,116620,15177,0,1
3,119763,2333,1,0
17,91427,18842,0,0
76,98696,32042,0,0
37,72097,8753,0,1
96,80395,8550,1,0
97,78297,38438,0,0
88,79009,46438,1,0
13,27660,1695,0,0
4,91705,36074,0,0
56,16349,1362,0,1
91,12865,37474,1,0
14,4289,34644,0,0
6,139216,15152,1,0
59,138419,11675,1,1
14,140183,15004,0,0
37,29677,41550,1,0
53,2040,14645,0,0
54,148323,3033,0,1
64,54529,17541,0,0
91,85882,19626,1,0
54,75118,37787,1,0
41,32743,32739,0,0
95,116096,7434,0,0
46,109669,31777,0,0
87,2508,17332,0,0
56,38025,34336,0,0
43,62071,32146,0,0
11,142925,39604,0,0
32,143526,12793,0,1
67,92343,23511,1,1
5,137697,32724,1,0
6,132047,32647,0,0
85,113360,45703,0,0
47,51842,41737,0,0
24,90048,6518,1,1
95,108186,44879,1,0
42,41019,45846,1,0
0,89248,21353,0,0
48,83052,45646,0,0
99,114339,21705,0,0
37,106046,46494,1,1
6,91943,1008,1,0
65,4200,29798,1,0
36,69841,32856,1,0
69,12742,43127,0,0
51,12251,785,1,1
41,76935,3425,0,1
54,10005,19932,0,0
65,17811,19310,1,0
25,39577,36429,1,0
55,42479,24588,0,0
16,25902,42483,0,0
43,97831,41075,0,0
61,35353,31178,1,0
35,132289,30224,0,1
85,38594,43856,1,0
96,50878,14299,0,0
10,92922,3343,1,0
60,128014,34558,1,1
51,1923,37436,0,0
65,17143,39571,1,0
22,146365,5843,1,1
64,11377,36153,1,0
